MARQUE_MODELE;ANNEE;CAF_XOF;COTE_EUR_IMPLICITE;PLANCHER;CATEGORIE_TAUX;TAUX_MARGINAL;DROITS_IM4_XOF_depuis_fev2025;NB_DECLARATIONS;FIABILITE_CAF_%
PEUGEOT J5;1986;1500001;;OUI;C_CAMION_BUS;0.23338;448670;3;67
PEUGEOT J5;1988;1500001;;OUI;C_CAMION_BUS;0.23338;448670;3;100
PEUGEOT J5;1993;1500001;;OUI;C_CAMION_BUS;0.23338;448670;3;67
PEUGEOT J9;1984;1500001;;OUI;C_CAMION_BUS;0.23338;448670;3;67
RENAULT KANGOO;2005;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;3;67
RENAULT KANGOO;2006;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;3;67
RENAULT MAGNUM;2003;2500000;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;3;67
RENAULT MAGNUM;2006;2600000;3963;;D_TRACTEUR_ROUTIER;0.19208;598008;3;67
RENAULT TRUCK;1986;2500001;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;3;33
RENAULT TRUCK;2006;2600003;3963;;D_TRACTEUR_ROUTIER;0.19208;598009;3;33
SCANIA R113;1995;2500000;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;3;67
SCANIA R113;1996;2500001;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;3;67
SCANIA TRUCK;1988;2500000;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;3;100
SCANIA TRUCK;1989;2500001;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;3;67
SCANIA TRUCK;1990;2500000;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;3;100
TOYOTA 4RUNNER;2005;2148066;3274;;A_TOURISME_13CV_PLUS;0.40208;962294;3;67
TOYOTA AVALON;2006;1694142;2582;;A_TOURISME_13CV_PLUS;0.40208;779781;3;67
TOYOTA AVALON;2007;2058856;3138;;A_TOURISME_13CV_PLUS;0.40208;926425;3;67
TOYOTA AVALON;2011;2656435;4049;;A_TOURISME_13CV_PLUS;0.40208;1166699;3;33
TOYOTA AVENSIS;2009;2458109;3747;;B_TOURISME_STANDARD;0.31598;875313;3;67
TOYOTA AVENSIS VERSO;2006;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;3;67
TOYOTA CAMRY 07;2012;3407510;5194;;A_TOURISME_13CV_PLUS;0.40208;1468692;3;33
TOYOTA CARINA;1995;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;3;67
TOYOTA CARINA;1996;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;3;100
TOYOTA COROLLA GRAVE ACCIDENTE;2015;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;3;67
TOYOTA COROLLA VERSO;2010;2654897;4047;;B_TOURISME_STANDARD;0.31598;937494;3;33
TOYOTA HIACE;1998;1500001;;OUI;C_CAMION_BUS;0.23338;448670;3;67
TOYOTA HIACE;2003;2500001;;OUI;C_CAMION_BUS;0.23338;682050;3;33
TOYOTA HIGHLANDER 07;2013;8865097;13514;;A_TOURISME_13CV_PLUS;0.40208;3663078;3;67
TOYOTA HIGHLANDER 10;2015;11029765;16814;;A_TOURISME_13CV_PLUS;0.40208;4533448;3;67
TOYOTA HIGHLANDER M C;2005;2148065;3274;;A_TOURISME_13CV_PLUS;0.40208;962294;3;67
TOYOTA LAND CRUISER;2005;1848065;2817;;A_TOURISME_13CV_PLUS;0.40208;841670;3;67
TOYOTA LAND CRUISER PRADO AUTRES;2023;27806299;42390;;AUTRE/EXONERE;;;3;33
TOYOTA LAND CRUISER VXR TURBO AUTRES;2026;43416810;66188;;AUTRE/EXONERE;;;3;100
TOYOTA MATRIX;2011;3371432;5139;;B_TOURISME_STANDARD;0.31598;1163905;3;33
TOYOTA PICNIC;1999;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;3;100
TOYOTA PRADO;2010;6566830;10010;;A_TOURISME_13CV_PLUS;0.40208;2738991;3;33
TOYOTA PRADO AUTRES;2023;50395200;76826;;AUTRE/EXONERE;;;3;67
TOYOTA RAV 4 07;2007;3400952;5184;;A_TOURISME_13CV_PLUS;0.40208;1466055;3;33
TOYOTA RAV 4 10;2011;4683351;7139;;A_TOURISME_13CV_PLUS;0.40208;1981682;3;33
TOYOTA RAV 4 11;2013;5995272;9139;;A_TOURISME_13CV_PLUS;0.40208;2509179;3;67
TOYOTA SCION XD;2008;1754492;2674;;B_TOURISME_STANDARD;0.31598;652984;3;33
TOYOTA SIENNA;2007;2053608;3130;;A_TOURISME_13CV_PLUS;0.40208;924315;3;67
TOYOTA SIENNA;2015;8963491;13664;;A_TOURISME_13CV_PLUS;0.40208;3702640;3;33
TOYOTA TACOMA;2006;2069350;3154;;C_CAMION_BUS;0.23338;581545;3;33
TOYOTA TACOMA;2008;1777449;2709;;C_CAMION_BUS;0.23338;513421;3;33
TRAILER ATTACHED AUTRES REMORQUES ET SEM;1989;2500001;;OUI;C_CAMION_BUS;0.23338;682050;3;67
TRAILER ATTACHED AUTRES REMORQUES ET SEM;1999;2500001;;OUI;C_CAMION_BUS;0.23338;682050;3;67
