MARQUE_MODELE;ANNEE;CAF_XOF;COTE_EUR_IMPLICITE;PLANCHER;CATEGORIE_TAUX;TAUX_MARGINAL;DROITS_IM4_XOF_depuis_fev2025;NB_DECLARATIONS;FIABILITE_CAF_%
MINI COOPER;2012;3112327;4744;;B_TOURISME_STANDARD;0.31598;1082033;2;50
MINI COUNTRYMAN AUTRES;2024;26697450;40699;;AUTRE/EXONERE;;;2;50
MITSUBISHI CANTER;1992;2000001;3048;;C_CAMION_BUS;0.23338;565360;2;50
MITSUBISHI CANTER;1996;2595361;3956;;C_CAMION_BUS;0.23338;704305;2;50
MITSUBISHI CANTER;1997;2500003;;OUI;C_CAMION_BUS;0.23338;682051;2;50
MITSUBISHI CANTER;1998;2500001;;OUI;C_CAMION_BUS;0.23338;682050;2;50
MITSUBISHI GRANDIS;2005;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
MITSUBISHI L300 USAGES;1997;1500001;;OUI;C_CAMION_BUS;0.23338;448670;2;50
MITSUBISHI OUTLANDER;2004;1500003;;OUI;A_TOURISME_13CV_PLUS;0.40208;701721;2;50
MITSUBISHI OUTLANDER;2007;2341347;3569;;B_TOURISME_STANDARD;0.31598;838419;2;50
MITSUBISHI OUTLANDER;2011;2992943;4562;;A_TOURISME_13CV_PLUS;0.40208;1302003;2;50
MITSUBISHI OUTLANDER;2012;3591179;5474;;B_TOURISME_STANDARD;0.31598;1233341;2;50
MITSUBISHI OUTLANDER;2013;4634155;7064;;B_TOURISME_STANDARD;0.31598;1562900;2;100
NISSAN ALMERA TINO;2000;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;2;50
NISSAN CABSTAR;1995;2500001;;OUI;C_CAMION_BUS;0.23338;682050;2;100
NISSAN MURANO;2006;2244266;3421;;A_TOURISME_13CV_PLUS;0.40208;1000974;2;100
NISSAN NAVARA;2006;1566002;2387;;C_CAMION_BUS;0.23338;464074;2;50
NISSAN NAVARA;2007;1500001;;OUI;C_CAMION_BUS;0.23338;448670;2;50
NISSAN NAVARA;2008;1866002;2844;;C_CAMION_BUS;0.23338;534088;2;50
NISSAN NAVARA;2017;8499501;12957;;C_CAMION_BUS;0.23338;2082214;2;50
NISSAN NOTE;2009;1759511;2682;;B_TOURISME_STANDARD;0.31598;654570;2;50
NISSAN QASHQAI;2010;2884483;4397;;B_TOURISME_STANDARD;0.31598;1010039;2;100
NISSAN QASHQAI;2012;3363336;5127;;B_TOURISME_STANDARD;0.31598;1161347;2;50
NISSAN QASHQAI;2014;4826124;7357;;B_TOURISME_STANDARD;0.31598;1623559;2;50
NISSAN QASHQAI;2015;5186903;7907;;B_TOURISME_STANDARD;0.31598;1737558;2;50
NISSAN QASHQAI;2016;5728070;8732;;B_TOURISME_STANDARD;0.31598;1908556;2;100
NISSAN QASHQAI 10;2007;2674576;4077;;B_TOURISME_STANDARD;0.31598;943713;2;50
NISSAN ROGUE;2015;5486903;8364;;A_TOURISME_13CV_PLUS;0.40208;2304774;2;100
NISSAN ROGUE;2016;6028070;9189;;A_TOURISME_13CV_PLUS;0.40208;2522366;2;100
NISSAN TINO;2006;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
OPEL MERIVA;2005;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;2;50
OPEL ZAFIRA;2005;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;50
OPEL ZAFIRA;2007;1500000;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;50
OPEL ZAFIRA;2009;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
PEUGEOT 206;2000;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
PEUGEOT 206;2004;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
PEUGEOT 307;2005;1500000;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;50
PEUGEOT 307;2006;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
PEUGEOT 308;2008;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
PEUGEOT BOXER;1995;1500000;;OUI;C_CAMION_BUS;0.23338;448670;2;50
PEUGEOT BOXER;1998;1501015;;OUI;C_CAMION_BUS;0.23338;448907;2;50
PEUGEOT BOXER;2000;2500003;;OUI;C_CAMION_BUS;0.23338;682051;2;50
PEUGEOT J5;1983;1500001;;OUI;C_CAMION_BUS;0.23338;448670;2;50
PEUGEOT J5;1984;1500000;;OUI;C_CAMION_BUS;0.23338;448670;2;50
PEUGEOT J5 USAGES;1982;1500001;;OUI;C_CAMION_BUS;0.23338;448670;2;100
PEUGEOT J5 USAGES;1992;1500001;;OUI;C_CAMION_BUS;0.23338;448670;2;100
PEUGEOT PARTNER;2004;1500000;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;50
PONTIAC VIBE GT;2009;2551482;3889;;A_TOURISME_13CV_PLUS;0.40208;1124500;2;100
RENAULT G290;1991;2500001;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;2;100
RENAULT G340;1995;2500001;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;2;100
RENAULT KANGOO;2000;1500001;;OUI;C_CAMION_BUS;0.23338;448670;2;100
RENAULT KANGOO;2001;1500001;;OUI;C_CAMION_BUS;0.23338;448670;2;100
RENAULT KANGOO;2007;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
RENAULT MAGNUM;1999;2500001;;OUI;C_CAMION_BUS;0.23338;682050;2;50
RENAULT MAGNUM;2000;2500001;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;2;100
RENAULT MAGNUM;2002;5000000;7622;;AUTRE/EXONERE;;;2;50
RENAULT MEGANE;2004;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
RENAULT PREMIUM;1999;2500000;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;2;50
RENAULT PREMIUM;2000;2500001;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;2;100
RENAULT PREMIUM;2019;18017912;27467;;C_CAMION_BUS;0.23338;4303620;2;50
RENAULT TRACTOR HEAD;1999;2500001;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;2;100
RENAULT TRUCK;1984;2500001;;OUI;C_CAMION_BUS;0.23338;682050;2;100
RENAULT TRUCK;1985;2500003;;OUI;D_TRACTEUR_ROUTIER;0.19208;578801;2;50
RENAULT TRUCK;2009;2500000;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;2;50
RENAULT TRUCK GENRE TRR;2003;2600001;3963;;D_TRACTEUR_ROUTIER;0.19208;598008;2;100
SCANIA 112;1988;2500000;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;2;100
SCANIA 113;1991;2500001;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;2;50
SCANIA 113M TRUCK;1996;2500000;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;2;50
SCANIA P113;1996;2500000;;OUI;C_CAMION_BUS;0.23338;682050;2;50
SCANIA TRUCK;1987;2500000;;OUI;C_CAMION_BUS;0.23338;682050;2;100
SCANIA TRUCK;1998;2500001;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;2;100
SCANIA TRUCK;2000;2500000;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;2;100
SCANIA TRUCK;2002;2500000;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;2;100
SCION XD;2009;2551481;3889;;B_TOURISME_STANDARD;0.31598;904817;2;50
SEMI FRUEHAUF 08 10 AUTRES REMORQUES ET ;1999;2500001;;OUI;C_CAMION_BUS;0.23338;682050;2;100
SUZUKI LIANA;2006;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
SUZUKI SWIFT;2008;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
TOYOTA 4 RUNNER;2004;1500003;;OUI;A_TOURISME_13CV_PLUS;0.40208;701721;2;50
TOYOTA 4 RUNNER;2014;8865099;13514;;A_TOURISME_13CV_PLUS;0.40208;3663079;2;50
TOYOTA 4RUNNER;2006;2922101;4454;;A_TOURISME_13CV_PLUS;0.40208;1273518;2;50
TOYOTA AURIS;2011;3077993;4692;;B_TOURISME_STANDARD;0.31598;1071184;2;50
TOYOTA AVALON;2008;2141507;3264;;A_TOURISME_13CV_PLUS;0.40208;959657;2;50
TOYOTA AVENSIS;1997;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
TOYOTA AYGO;2009;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;2;100
TOYOTA AYGO;2010;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;2;100
TOYOTA CAMRY;2016;6011670;9164;;A_TOURISME_13CV_PLUS;0.40208;2515772;2;50
TOYOTA CAMRY;2017;6962812;10614;;A_TOURISME_13CV_PLUS;0.40208;2898207;2;100
TOYOTA CAMRY 08;2011;3584618;5464;;A_TOURISME_13CV_PLUS;0.40208;1539903;2;50
TOYOTA CAMRY 09;2012;3584621;5464;;A_TOURISME_13CV_PLUS;0.40208;1539904;2;50
TOYOTA CAMRY 10;2012;3400949;5184;;A_TOURISME_13CV_PLUS;0.40208;1466054;2;50
TOYOTA CAMRY M C;2009;2430128;3704;;A_TOURISME_13CV_PLUS;0.40208;1075706;2;50
TOYOTA CARINA;1998;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;2;50
TOYOTA COROLLA;1998;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
TOYOTA COROLLA 09;2010;2656437;4049;;B_TOURISME_STANDARD;0.31598;937981;2;50
TOYOTA COROLLA 20 12;2004;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
TOYOTA COROLLA GRAVE ACCIDENTE;2016;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;2;100
TOYOTA COROLLA M C;2003;1500000;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
TOYOTA COROLLA VERSO;2001;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
TOYOTA DYNA;2003;2000001;3048;;C_CAMION_BUS;0.23338;565360;2;50
TOYOTA FJ CRUISER;2007;3696132;5634;;A_TOURISME_13CV_PLUS;0.40208;1584741;2;50
TOYOTA FJ CRUISER;2008;4470165;6814;;A_TOURISME_13CV_PLUS;0.40208;1895964;2;100
TOYOTA HI LUX;2002;1500001;;OUI;C_CAMION_BUS;0.23338;448670;2;100
TOYOTA HI LUX;2010;1500001;;OUI;C_CAMION_BUS;0.23338;448670;2;50
TOYOTA HI LUX;2011;1500001;;OUI;C_CAMION_BUS;0.23338;448670;2;50
TOYOTA HI LUX;2018;11451321;17457;;C_CAMION_BUS;0.23338;2771109;2;100
TOYOTA HIACE;2002;1500000;;OUI;C_CAMION_BUS;0.23338;448670;2;50
TOYOTA HIACE;2004;1500001;;OUI;C_CAMION_BUS;0.23338;448670;2;100
TOYOTA HIACE;2005;2607442;3974;;C_CAMION_BUS;0.23338;707125;2;50
TOYOTA HIACE USAGES;2009;2500001;;OUI;C_CAMION_BUS;0.23338;682050;2;50
TOYOTA HIGHLANDER 07;2004;2148068;3274;;A_TOURISME_13CV_PLUS;0.40208;962295;2;50
TOYOTA HIGHLANDER 07;2005;2922099;4454;;A_TOURISME_13CV_PLUS;0.40208;1273518;2;100
TOYOTA HIGHLANDER 07;2008;6060868;9239;;A_TOURISME_13CV_PLUS;0.40208;2535554;2;100
TOYOTA HILUX;2007;1500001;;OUI;C_CAMION_BUS;0.23338;448670;2;100
TOYOTA HILUX;2009;1500000;;OUI;C_CAMION_BUS;0.23338;448670;2;50
TOYOTA HILUX;2010;1769351;2697;;C_CAMION_BUS;0.23338;511531;2;50
TOYOTA HILUX;2013;3832345;5842;;C_CAMION_BUS;0.23338;992993;2;100
TOYOTA HILUX DOUBLE CABIN 5 AUTRES;2024;54278272;82746;;AUTRE/EXONERE;;;2;50
TOYOTA LAND CRUISER;2003;1500000;;OUI;A_TOURISME_13CV_PLUS;0.40208;701720;2;50
TOYOTA LAND CRUISER AUTRES;2025;60157500;91709;;AUTRE/EXONERE;;;2;50
TOYOTA LAND CRUISER VXR 3 5 AUTRES;2026;53039500;80857;;AUTRE/EXONERE;;;2;50
TOYOTA LANDCRUISER;2002;1500001;;OUI;A_TOURISME_13CV_PLUS;0.40208;701720;2;100
TOYOTA PRADO;2012;7895149;12035;;A_TOURISME_13CV_PLUS;0.40208;3273082;2;50
TOYOTA PREVIA;1998;1500003;;OUI;A_TOURISME_13CV_PLUS;0.40208;701721;2;50
TOYOTA RAV 4;1998;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
TOYOTA RAV 4;2019;16343041;24914;;A_TOURISME_13CV_PLUS;0.40208;6669810;2;50
TOYOTA RAV 4 07;2010;4912938;7489;;A_TOURISME_13CV_PLUS;0.40208;2073994;2;100
TOYOTA RAV 4 07;2013;5995271;9139;;A_TOURISME_13CV_PLUS;0.40208;2509179;2;50
TOYOTA RAV 4 09;2011;4683352;7139;;A_TOURISME_13CV_PLUS;0.40208;1981682;2;50
TOYOTA RAV 4 09;2013;5995271;9139;;A_TOURISME_13CV_PLUS;0.40208;2509179;2;100
TOYOTA RAV 4 11;2012;5749287;8764;;A_TOURISME_13CV_PLUS;0.40208;2410273;2;100
TOYOTA RAV 4 GRAVE ACCIDENTE;2010;1745402;2660;;A_TOURISME_13CV_PLUS;0.40208;800391;2;50
TOYOTA RAV4;2000;1500000;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
TOYOTA RAV4 M C;2006;2280569;3476;;A_TOURISME_13CV_PLUS;0.40208;1015571;2;50
TOYOTA SCION;2010;1597060;2434;;B_TOURISME_STANDARD;0.31598;603239;2;50
TOYOTA SIENNA;2010;3676453;5604;;A_TOURISME_13CV_PLUS;0.40208;1576828;2;50
TOYOTA TACOMA;2004;1500000;;OUI;C_CAMION_BUS;0.23338;448670;2;50
TOYOTA TACOMA;2009;1777451;2709;;C_CAMION_BUS;0.23338;513422;2;50
TOYOTA TACOMA;2010;1777449;2709;;C_CAMION_BUS;0.23338;513421;2;50
TOYOTA VENZA;2014;5995271;9139;;A_TOURISME_13CV_PLUS;0.40208;2509179;2;100
TOYOTA VENZA 07;2011;4683352;7139;;A_TOURISME_13CV_PLUS;0.40208;1981682;2;50
TOYOTA VENZA 08;2009;4220899;6434;;A_TOURISME_13CV_PLUS;0.40208;1795739;2;50
TOYOTA VERSO;2012;3396132;5177;;B_TOURISME_STANDARD;0.31598;1171710;2;50
TOYOTA VERSO S;2011;2228522;3397;;B_TOURISME_STANDARD;0.31598;802768;2;50
TOYOTA VOXY MODEL;2009;2424442;3695;;B_TOURISME_STANDARD;0.31598;864675;2;100
TOYOTA YARIS;1999;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;2;50
TOYOTA YARIS;2014;3586360;5467;;B_TOURISME_STANDARD;0.31598;1231818;2;50
TOYOTA YARIS;2019;1500000;;OUI;AUTRE/EXONERE;;;2;50
TOYOTA YARIS 18 03;2014;3586360;5467;;B_TOURISME_STANDARD;0.31598;1231818;2;100
TOYOTA YARIS VERSO;1999;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
TOYOTA YARIS VERSO;2001;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
TOYOTA YARIS VERSO;2005;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;2;50
TOYOTA YARIS VERSO;2006;1500000;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;50
TRACTEUR RENAULT 14 11;2001;2500000;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;2;100
TRACTOR TRUCK NEUFS;2025;103234567;157379;;AUTRE/EXONERE;;;2;100
TRAILER ATTACHED AUTRES REMORQUES ET SEM;1998;2500001;;OUI;C_CAMION_BUS;0.23338;682050;2;50
TRAILER ATTACHED AUTRES REMORQUES ET SEM;2008;2700001;4115;;AUTRE/EXONERE;;;2;50
TRAILER LOOSE AUTRES REMORQUES ET SEMI R;1991;2500001;;OUI;C_CAMION_BUS;0.23338;682050;2;50
TRAILER LOOSE AUTRES REMORQUES ET SEMI R;1995;2500000;;OUI;C_CAMION_BUS;0.23338;682050;2;50
TRAILER LOOSE AUTRES REMORQUES ET SEMI R;1998;2500001;;OUI;C_CAMION_BUS;0.23338;682050;2;100
TRAILER LOOSE AUTRES REMORQUES ET SEMI R;1999;2500000;;OUI;C_CAMION_BUS;0.23338;682050;2;50
TRAILER LOOSE AUTRES REMORQUES ET SEMI R;2001;2500001;;OUI;C_CAMION_BUS;0.23338;682050;2;50
VOLKSWAGEN BORA MODEL AUTRES;2022;7215528;10999;;AUTRE/EXONERE;;;2;100
VOLKSWAGEN EOS;2007;2338724;3565;;B_TOURISME_STANDARD;0.31598;837590;2;50
VOLKSWAGEN GOLF;1996;1500000;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;50
VOLKSWAGEN GOLF;1999;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
VOLKSWAGEN GOLF;2002;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
VOLKSWAGEN PASSAT;1993;1500000;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;50
VOLKSWAGEN PASSAT;1998;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
VOLKSWAGEN SHARAN;1997;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;50
VOLVO FL6;1992;2500001;;OUI;C_CAMION_BUS;0.23338;682050;2;50
VOLVO FL614;1997;2500000;;OUI;C_CAMION_BUS;0.23338;682050;2;100
VOLVO TRUCK;1998;2500000;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;2;100
VOLVO TRUCK;2001;4000000;6097;;AUTRE/EXONERE;;;2;50
01 01 TOYOTA MATRIX;2003;1500000;;OUI;B_TOURISME_STANDARD;0.31598;572570;1;100
01 09 TOYOTA PREVIA;2000;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;1;100
01 10 TOYOTA AVENSIS;2003;1500000;;OUI;B_TOURISME_STANDARD;0.31598;572570;1;100
01 POLARIS SLINGSHOT;2019;1306401;1991;;B_TOURISME_STANDARD;0.31598;511397;1;100
01 SEMI REMORQUE PLATEAU AUTRES;2026;7503758;11439;;AUTRE/EXONERE;;;1;100
02 03 SCANIA TRUCK;1998;2500003;;OUI;D_TRACTEUR_ROUTIER;0.19208;578801;1;100
02 12 HYUNDAI TUCSON;2005;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;1;100
02 BULLDOZER AUTRES;2016;8679608;13231;;AUTRE/EXONERE;;;1;100
02 BUS YUTONG NEUF ANNEE AUTRES;2023;150680000;229709;;AUTRE/EXONERE;;;1;100
02 JETOUR T2 PTR A T 05 DOORS AUTRES;2025;18898200;28809;;AUTRE/EXONERE;;;1;100
02 JETOUR T2 PTR A T AUTRES;2025;16927500;25805;;AUTRE/EXONERE;;;1;100
02 TOYOTA LAND CRUISER 09 AUTRES;2023;65591738;99993;;AUTRE/EXONERE;;;1;100
02 VEHS MAMBA MK7 MODEL CHARS ET AUTOMOB;2023;601999467;917742;;AUTRE/EXONERE;;;1;100
02 XINWANRONG TRAILER ANNEE 08 D UNE CAP;2024;21691044;33067;;AUTRE/EXONERE;;;1;100
03 04 KIA SOUL;2010;2279260;3474;;B_TOURISME_STANDARD;0.31598;818801;1;100
03 09 PORCHE CAYENNE;2010;2243000;3419;;A_TOURISME_13CV_PLUS;0.40208;1000465;1;100
03 NISSAN ALMERA TINO;2005;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;1;100
03 TOYOTA HIACE;2022;4065537;6197;;C_CAMION_BUS;0.23338;1047415;1;100
03 TOYOTA HIGHLANDER GRAVE ACC;2010;1744433;2659;;A_TOURISME_13CV_PLUS;0.40208;800002;1;100
05 HONDA CR V;2017;8963493;13664;;B_TOURISME_STANDARD;0.31598;2930885;1;100
05 TOYOTA RAV 4;2005;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;1;100
06 02 TOYOTA YARIS;2007;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;1;100
06 BMW X1 GRAVE ACCIDENTE;2013;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;1;100
06 NISSAN ROGUE;2019;10243201;15615;;A_TOURISME_13CV_PLUS;0.40208;4217186;1;100
06 TOYOTA HIACE LH202L;2025;14817999;22589;;AUTRE/EXONERE;;;1;100
07 11 HONDA JAZZ;2003;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;1;100
07 11 PORSCHE CAYENNE;2007;1500000;;OUI;A_TOURISME_13CV_PLUS;0.40208;701720;1;100
07 11 SREM FRUEHAUF;1991;10000003;15244;;AUTRE/EXONERE;;;1;100
07 12 NISSAN PATROL STATION;2020;4148878;6324;;AUTRE/EXONERE;;;1;100
08 03 PEUGEOT 307;2002;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;1;100
08 05 TOYOTA HIACE;2000;1500003;;OUI;C_CAMION_BUS;0.23338;448671;1;100
08 LEXUS RX 330;2005;2364532;3604;;A_TOURISME_13CV_PLUS;0.40208;1049331;1;100
08 TOYOTA HIGHLANDER;2010;7946753;12114;;A_TOURISME_13CV_PLUS;0.40208;3293830;1;100
08 TOYOTA HIGHLANDER;2017;20377195;31064;;A_TOURISME_13CV_PLUS;0.40208;8291863;1;100
08 TOYOTA HIGHLANDER GRAVE ACC;2015;3486349;5314;;A_TOURISME_13CV_PLUS;0.40208;1500391;1;100
09 08 TOYOTA HILUX;2022;4173637;6362;;AUTRE/EXONERE;;;1;100
09 09;1996;2500001;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;1;100
09 11 KIA PICANTO;2004;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;1;100
09 TOYOTA MATRIX;2008;2551484;3889;;B_TOURISME_STANDARD;0.31598;904818;1;100
1 CONCRETE PUMP TRUCK ANNEE CAMIONS GRUE;2012;99724405;152028;;AUTRE/EXONERE;;;1;100
1 EXCAVATOR MODEL SY205H ENGINS DONT LA ;2022;42279932;64455;;AUTRE/EXONERE;;;1;100
1 SEMI FRUEHAUF USAGE DU 08 01 AUTRES RE;1986;2500001;;OUI;C_CAMION_BUS;0.23338;682050;1;100
10 01 CAMION RENAULT USAGE AUTRES REMORQ;1990;2500003;;OUI;C_CAMION_BUS;0.23338;682051;1;100
10 BMW X3 GRAVE ACCIDENTE;2012;2220003;3384;;B_TOURISME_STANDARD;0.31598;800077;1;100
10 JEEP WRANGLER SAHARA;2011;4732551;7214;;A_TOURISME_13CV_PLUS;0.40208;2001464;1;100
11 MAZDA CX9;2010;3551823;5414;;A_TOURISME_13CV_PLUS;0.40208;1526717;1;100
11 NISSAN QASHQAI;2009;2884485;4397;;B_TOURISME_STANDARD;0.31598;1010040;1;100
11 TOYOTA CAMRY;2010;2764671;4214;;A_TOURISME_13CV_PLUS;0.40208;1210219;1;100
11 TOYOTA MATRIX;2010;3371434;5139;;A_TOURISME_13CV_PLUS;0.40208;1454186;1;100
11 TOYOTA RAV 4;2013;5995272;9139;;A_TOURISME_13CV_PLUS;0.40208;2509179;1;100
12 04 TOYOTA RAV4;2006;1980569;3019;;B_TOURISME_STANDARD;0.31598;724420;1;100
12 TOYOTA LAND CRUISER GRJ300 AUTRES;2023;62748400;95659;;AUTRE/EXONERE;;;1;100
14 03 NISSAN PRIMERA;2006;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;1;100
14 06 DACIA DUSTER;2016;3937301;6002;;B_TOURISME_STANDARD;0.31598;1342708;1;100
15 03 HYUNDAI TUCSON;2010;2804028;4274;;A_TOURISME_13CV_PLUS;0.40208;1226044;1;100
15 08 TOYOTA YARIS;2006;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;1;100
16 01 MERCEDES BENZ CLK 240;2003;1500003;;OUI;A_TOURISME_13CV_PLUS;0.40208;701721;1;100
17 01 TOYOTA YARIS;2007;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;1;100
17 03 HONDA JAZZ;2005;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;1;100
17 06 NISSAN ALMERA;2004;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;1;100
17 08 TRAILER ATTACHED AUTRES REMORQUES ;2004;5000003;7622;;AUTRE/EXONERE;;;1;100
18 03 TOYOTA AVENSIS VERSO;2003;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;1;100
18 12 TOYOTA AVENSIS;2007;2123569;3237;;B_TOURISME_STANDARD;0.31598;769605;1;100
19 06 PEUGEOT J9;1990;1500003;;OUI;C_CAMION_BUS;0.23338;448671;1;100
20 08 TOYOTA AVENSIS;2003;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;1;100
20 11 NISSAN PATROL;2003;1500001;;OUI;A_TOURISME_13CV_PLUS;0.40208;701720;1;100
21 03 TOYOTA AVENSIS;2005;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;1;100
21 07 CAMION RENAULT USAGE;1998;2500003;;OUI;C_CAMION_BUS;0.23338;682051;1;100
22 06 PEUGEOT 207;2011;1661120;2532;;B_TOURISME_STANDARD;0.31598;623481;1;100
22 10 HYUNDAI SANTA FE;2012;4994935;7614;;A_TOURISME_13CV_PLUS;0.40208;2106963;1;100
23 09 TOYOTA YARIS;2009;1808709;2757;;B_TOURISME_STANDARD;0.31598;670116;1;100
23 12 KIA SPORTAGE GRAVE ACCID;2014;1513847;2307;;A_TOURISME_13CV_PLUS;0.40208;707288;1;100
24 03 MERCEDES BENZ SLK230;1999;1500000;;OUI;B_TOURISME_STANDARD;0.31598;572570;1;100
24 03 TOYOTA YARIS;2006;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;1;100
25 03 HONDA JAZZ;2024;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;1;100
27 02 RENAULT MIDLUM 150;2004;2500003;;OUI;C_CAMION_BUS;0.23338;682051;1;100
27 04 TOYOTA COROLLA;2007;1719500;2621;;B_TOURISME_STANDARD;0.31598;641928;1;100
27 04 TOYOTA PREVIA;2004;1500001;;OUI;A_TOURISME_13CV_PLUS;0.40208;701720;1;100
27 09 KIA PICANTO;2006;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;1;100
27 12 BMW 318;2002;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;1;100
28 04 NISSAN ALMERA;2004;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;1;100
28 04 TOYOTA AVENSIS;2000;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;1;100
28 08 TOYOTA AVENSIS;2007;2074372;3162;;B_TOURISME_STANDARD;0.31598;754060;1;100
28 10 OPEL ZAFIRA;2004;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;1;100
29 04 TOYOTA COROLLA;2004;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;1;100
29 04 TOYOTA YARIS;2008;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;1;100
29 09 HYUNDAI SANTA FE;2004;1500001;;OUI;A_TOURISME_13CV_PLUS;0.40208;701720;1;100
29 11 SREM TRAILER GENERAL AUTRES REMORQ;1995;2500001;;OUI;C_CAMION_BUS;0.23338;682050;1;100
30 06 VW BEETLE;2000;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;1;100
31 01 FORD TRANSIT;2006;1500003;;OUI;C_CAMION_BUS;0.23338;448671;1;100
31 03 KIA SORENTO;2011;3866683;5894;;A_TOURISME_13CV_PLUS;0.40208;1653316;1;100
31 03 VW T4 TRANSPORTER;1992;1500001;;OUI;C_CAMION_BUS;0.23338;448670;1;100
